Kabupaten_Kota,Kecamatan,centroid_latitude,centroid_longitude,industri_terdekat,tipe_industri,jarak_industri_km,industri_terdekat_2,tipe_industri_2,jarak_industri_2_km,industri_terdekat_3,tipe_industri_3,jarak_industri_3_km,industri_relevan_terdekat,tipe_industri_relevan,jarak_industri_relevan_km,relevansi_industri,jumlah_industri_radius_10km,kepadatan_industri,total_relevansi_radius,indeks_dampak_industri,kategori_dampak_industri,kepadatan_penduduk_kecamatan,indeks_pengaruh_urban,penjelasan_kualitas
Serang,Cinangka,-6.178947,105.883071,PT Banten Energy,Energi,18.03,Pelabuhan Ciwandan,Pelabuhan/Logistik,18.13,PT Lotte Chemical Indonesia,Kimia,21.04,PT Banten Energy,Energi,18.03,0.7,0,0.0,0.0,9.04,RENDAH,450.0,14.11,Kawasan pesisir di Kecamatan Cinangka diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **450 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (14.11/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri **9.04/100** (RENDAH). Industri terdekat adalah PT Banten Energy (Energi) berjarak **18.03 km** dengan dampak relatif rendah terhadap kualitas air.
Serang,Kramatwatu,-6.053325,106.106755,Pelabuhan Perikanan Karangantu,Perikanan,7.42,PT Asahimas Chemical,Kimia,10.64,PT Lotte Chemical Indonesia,Kimia,10.83,PT Asahimas Chemical,Kimia,10.64,1.0,1,0.0032,0.3,22.94,SEDANG,1400.0,23.46,"Kawasan pesisir di Kecamatan Kramatwatu berada dalam kondisi kelayakan lingkungan **SEDANG**. Terdapat tekanan antropogenik menengah dari pemukiman domestik atau area industri regional. Wilayah ini memiliki kepadatan penduduk **1,400 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (23.46/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri **22.94/100** (SEDANG) dengan 1 industri dalam radius 10 km. Industri terdekat: Pelabuhan Perikanan Karangantu (Perikanan) berjarak **7.42 km**. Pengaruh industri terhadap kualitas perairan bersifat moderat."
Serang,Pontang,-6.021874,106.264248,Pelabuhan Perikanan Karangantu,Perikanan,10.47,PT Asahimas Chemical,Kimia,27.03,PT Krakatau Steel,Baja/Logam,27.65,PT Asahimas Chemical,Kimia,27.03,1.0,0,0.0,0.0,5.28,RENDAH,750.0,12.73,Kawasan pesisir di Kecamatan Pontang diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **750 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (12.73/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri **5.28/100** (RENDAH). Industri terdekat adalah Pelabuhan Perikanan Karangantu (Perikanan) berjarak **10.47 km** dengan dampak relatif rendah terhadap kualitas air.
Serang,Puloampel,-5.916617,106.095037,Pelabuhan Merak,Pelabuhan,10.71,PT Indah Kiat Pulp & Paper (Merak),Pulp & Paper,11.34,PT Krakatau Steel,Baja/Logam,13.22,Pelabuhan Merak,Pelabuhan,10.71,0.5,0,0.0,0.0,20.04,SEDANG,900.0,12.82,Kawasan pesisir di Kecamatan Puloampel berada dalam kondisi kelayakan lingkungan **SEDANG**. Terdapat tekanan antropogenik menengah dari pemukiman domestik atau area industri regional. Wilayah ini memiliki kepadatan penduduk **900 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (12.82/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri **20.04/100** (SEDANG) dengan 0 industri dalam radius 10 km. Industri terdekat: Pelabuhan Merak (Pelabuhan) berjarak **10.71 km**. Pengaruh industri terhadap kualitas perairan bersifat moderat.
Serang,Tanara,-6.029426,106.359043,Pelabuhan Perikanan Karangantu,Perikanan,20.91,PT Asahimas Chemical,Kimia,37.54,PT Krakatau Steel,Baja/Logam,38.17,PT Asahimas Chemical,Kimia,37.54,1.0,0,0.0,0.0,1.86,SANGAT RENDAH,650.0,9.19,Kawasan pesisir di Kecamatan Tanara diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **650 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (9.19/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**1.86/100**). Industri terdekat (Pelabuhan Perikanan Karangantu) berjarak **20.91 km** — dampak industri terhadap kualitas air sangat minimal.
Serang,Tirtayasa,-5.973332,106.306747,Pelabuhan Perikanan Karangantu,Perikanan,16.43,PT Asahimas Chemical,Kimia,32.0,PT Krakatau Steel,Baja/Logam,32.47,PT Asahimas Chemical,Kimia,32.0,1.0,0,0.0,0.0,3.21,SANGAT RENDAH,600.0,8.92,Kawasan pesisir di Kecamatan Tirtayasa diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **600 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (8.92/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**3.21/100**). Industri terdekat (Pelabuhan Perikanan Karangantu) berjarak **16.43 km** — dampak industri terhadap kualitas air sangat minimal.
Tangerang,Kemiri,-6.096725,106.46182,Pelabuhan Perikanan Karangantu,Perikanan,33.08,PT Asahimas Chemical,Kimia,49.75,PT Lotte Chemical Indonesia,Kimia,50.38,PT Asahimas Chemical,Kimia,49.75,1.0,0,0.0,0.0,0.55,SANGAT RENDAH,1200.0,10.32,"Kawasan pesisir di Kecamatan Kemiri diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **1,200 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (10.32/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**0.55/100**). Industri terdekat (Pelabuhan Perikanan Karangantu) berjarak **33.08 km** — dampak industri terhadap kualitas air sangat minimal."
Tangerang,Kosambi,-6.083438,106.680824,Pelabuhan Perikanan Karangantu,Perikanan,56.78,PT Asahimas Chemical,Kimia,73.5,PT Krakatau Steel,Baja/Logam,74.16,PT Asahimas Chemical,Kimia,73.5,1.0,0,0.0,0.0,0.05,SANGAT RENDAH,3200.0,12.51,"Kawasan pesisir di Kecamatan Kosambi diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **3,200 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (12.51/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**0.05/100**). Industri terdekat (Pelabuhan Perikanan Karangantu) berjarak **56.78 km** — dampak industri terhadap kualitas air sangat minimal."
Tangerang,Kronjo,-6.078253,106.429387,Pelabuhan Perikanan Karangantu,Perikanan,29.16,PT Asahimas Chemical,Kimia,45.86,PT Krakatau Steel,Baja/Logam,46.57,PT Asahimas Chemical,Kimia,45.86,1.0,0,0.0,0.0,0.81,SANGAT RENDAH,1100.0,9.57,"Kawasan pesisir di Kecamatan Kronjo diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **1,100 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (9.57/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**0.81/100**). Industri terdekat (Pelabuhan Perikanan Karangantu) berjarak **29.16 km** — dampak industri terhadap kualitas air sangat minimal."
Tangerang,Mauk,-6.052934,106.529836,Pelabuhan Perikanan Karangantu,Perikanan,39.86,PT Asahimas Chemical,Kimia,56.56,PT Krakatau Steel,Baja/Logam,57.2,PT Asahimas Chemical,Kimia,56.56,1.0,0,0.0,0.0,0.28,SANGAT RENDAH,1500.0,10.07,"Kawasan pesisir di Kecamatan Mauk diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **1,500 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (10.07/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**0.28/100**). Industri terdekat (Pelabuhan Perikanan Karangantu) berjarak **39.86 km** — dampak industri terhadap kualitas air sangat minimal."
Tangerang,Mekarbaru,-6.060699,106.386443,Pelabuhan Perikanan Karangantu,Perikanan,24.16,PT Asahimas Chemical,Kimia,40.88,PT Krakatau Steel,Baja/Logam,41.56,PT Asahimas Chemical,Kimia,40.88,1.0,0,0.0,0.0,1.33,SANGAT RENDAH,1000.0,9.45,"Kawasan pesisir di Kecamatan Mekarbaru diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **1,000 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (9.45/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**1.33/100**). Industri terdekat (Pelabuhan Perikanan Karangantu) berjarak **24.16 km** — dampak industri terhadap kualitas air sangat minimal."
Tangerang,Pakuhaji,-6.065048,106.609117,Pelabuhan Perikanan Karangantu,Perikanan,48.7,PT Asahimas Chemical,Kimia,65.41,PT Krakatau Steel,Baja/Logam,66.06,PT Asahimas Chemical,Kimia,65.41,1.0,0,0.0,0.0,0.12,SANGAT RENDAH,1900.0,12.28,"Kawasan pesisir di Kecamatan Pakuhaji diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **1,900 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (12.28/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**0.12/100**). Industri terdekat (Pelabuhan Perikanan Karangantu) berjarak **48.70 km** — dampak industri terhadap kualitas air sangat minimal."
Tangerang,Sukadiri,-6.067763,106.55671,Pelabuhan Perikanan Karangantu,Perikanan,42.96,PT Asahimas Chemical,Kimia,59.67,PT Krakatau Steel,Baja/Logam,60.33,PT Asahimas Chemical,Kimia,59.67,1.0,0,0.0,0.0,0.2,SANGAT RENDAH,2100.0,11.52,"Kawasan pesisir di Kecamatan Sukadiri diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **2,100 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (11.52/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**0.20/100**). Industri terdekat (Pelabuhan Perikanan Karangantu) berjarak **42.96 km** — dampak industri terhadap kualitas air sangat minimal."
Tangerang,Teluknaga,-6.056288,106.665099,Pelabuhan Perikanan Karangantu,Perikanan,54.82,PT Asahimas Chemical,Kimia,71.5,PT Krakatau Steel,Baja/Logam,72.14,PT Asahimas Chemical,Kimia,71.5,1.0,0,0.0,0.0,0.06,SANGAT RENDAH,2800.0,10.98,"Kawasan pesisir di Kecamatan Teluknaga diklasifikasikan memiliki kelayakan lingkungan **SANGAT BAIK (Lestari)**. Kondisi alam sekitar terjaga dengan kepadatan penduduk yang minim serta jarak yang sangat jauh dari kawasan industri berat. Wilayah ini memiliki kepadatan penduduk **2,800 jiwa/km²**. Indeks Pengaruh Urban bernilai **RENDAH** (10.98/100) karena lokasinya relatif terpencil dari aglomerasi perkotaan utama. Indeks Dampak Industri sangat rendah (**0.06/100**). Industri terdekat (Pelabuhan Perikanan Karangantu) berjarak **54.82 km** — dampak industri terhadap kualitas air sangat minimal."
